in_gene	out_gene	branch_support	ev_type	sos
Scil_88349	Mmus_ENSMUSG00000047002	77.0	S	0.0
Scil_88349	Hsap_ENSG00000188095_MESP2	77.0	S	0.0
Scil_88349	Mmus_ENSMUSG00000030543	77.0	S	0.0
Scil_88349	Hsap_ENSG00000166823_MESP1	77.0	S	0.0
Scil_88349	Mmus_ENSMUSG00000030544	77.0	S	0.0
Scil_88349	Hsap_ENSG00000151379_MSGN1	77.0	S	0.0
Tadh_P56913	Skow_XP_002733196_1	98.0	S	0.0
Tadh_P56913	Tcas_XP_969233.2	98.0	S	0.0
Tadh_P56913	Ctel_CapteP220993	98.0	S	0.0
Tadh_P56913	Dmel_FBpp0081911_Fer3	98.0	S	0.0
Tadh_P56913	Ctel_CapteP80499	98.0	S	0.0
Tadh_P56913	Ctel_CapteP98465	98.0	S	0.0
Tadh_P56913	Hsap_ENSG00000146618_FERD3L	98.0	S	0.0
Tadh_P56913	Spur_XP_780135.1	98.0	S	0.0
Tadh_P56913	Hmia_HMIM010359_PA	98.0	S	0.0
Tadh_P56913	Smed_dd_Smed_v6_10868_0	98.0	S	0.0
Tadh_P56913	Skow_XP_006814556_1	98.0	S	0.0
Tadh_P56913	Mmus_ENSMUSG00000046518	98.0	S	0.0
Tadh_P56913	Ctel_CapteP58127	98.0	S	0.0
Tadh_P56913	Skow_NP_001158470_1	98.0	S	0.0
Tadh_P56913	Cgig_EKC32760	98.0	S	0.0
Tadh_P56913	Hmia_HMIM022476_PA	98.0	S	0.0
Tadh_P56913	Ctel_CapteP151649	98.0	S	0.0
Tadh_P56913	Cgig_EKC32761	98.0	S	0.0
Tadh_P56913	Smed_dd_Smed_v6_8096_0	98.0	S	0.0
Tadh_P56913	Hmia_HMIM002623_PA	98.0	S	0.0
Tadh_P56913	Smed_dd_Smed_v6_11053_0	98.0	S	0.0
Tadh_P56913	Ctel_CapteP57348	98.0	S	0.0
Tadh_P56913	Skow_XP_006814564_1	98.0	S	0.0
Tadh_P56913	Bflo_126674	98.0	S	0.0
Hhon_g05650_t1	Skow_XP_002733196_1	98.0	S	0.0
Hhon_g05650_t1	Tcas_XP_969233.2	98.0	S	0.0
Hhon_g05650_t1	Ctel_CapteP220993	98.0	S	0.0
