in_gene	out_gene	branch_support	ev_type	sos
Emue_0007g634a	Gefoke_MALSP_02491.mRNA.1	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Phoaus_g6500.t1	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Auraur_scaffold584.g6.t1	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Hduj_OQV23936.1	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Amac_KNE62073	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Drer_ENSDARP00000152899.1	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Drer_ENSDARP00000007140.7	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Notgen_g22494.t1	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Mcir_OAD01724	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Drer_ENSDARP00000045941.6	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Drer_ENSDARP00000093306.3	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Skow_XP_006819064.1	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Klenit_GAQ85343.1	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Ramvar_GAU93306.1	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Diprot_Gene.21815	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Helrob_HelroP84338	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Cmer_CMB046CT	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Apla_XP_022081439.1	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Spur_XP_030856400.1	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Emul_CDI97327.1	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Apla_XP_022085617.1	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Plamic_ANCSI_02395.mRNA.1	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Sros_EGD82655	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Sphfal_Sphfalx05G099800.1.p	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Helrob_HelroP88624	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Ramvar_GAU93788.1	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Tetwil_Twilhelma_g9042.t2	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Plafun_PRP79815	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Ppat_Pp3c9_3630V3.1	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Emue_0015g84a	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Bralan_BL21875_evm12	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Drer_ENSDARP00000131255.2	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Umay_KIS67423	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Morvir_scaffold141.g5.t1	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Mvib_comp13484_c2_seq1_fr6	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Cfra_CFRG5440T1	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Dpul_EFX82823	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Aque_Aqu2.1.31947_001	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Lgig_LotgiP125461	1.0	S	0.0
Maljak_MALJA_23287.mRNA.1	Hsap_ENSP00000350676.5	1.0	S	0.0
