gene	cluster_name	orthologous_to
Drer_ENSDARP00000093306.3	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2B
Gpro_KXS22114	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B/KDM7A/PHF2/PHF8
Hsap_ENSP00000352185.4	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	PHF2
Mbre_EDQ91844	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Mcir_OAD01724	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Lpol_XP_013778988.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Phoaus_g6992.t1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Morvir_scaffold141.g5.t1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Cocsub_XP_005644157.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Emue_0005g1221a	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Tetwil_Twilhelma_g9042.t2	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Auraur_scaffold2276.g3.t2	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Auraur_scaffold584.g6.t1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Hduj_OQV23936.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Hsap_ENSP00000350676.5	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	PHF8
Coerev_PIA18176.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Phatri_Phatr3_J42595.p1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Aano_EGB07333	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Drer_ENSDARP00000045941.6	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	PHF2
Cmer_CMB082CT	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Adig_XP_015761842.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Lgig_LotgiP125461	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Ctel_CapteP225898	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Hsap_ENSP00000380692.2	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A
Tcas_XP_969145.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Nvec_NVE23290	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Tcas_XP_008190490.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Ptyfla_pfl_40v0_9_20150316_1g7392.t1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Tcas_XP_970863.2	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Lpol_XP_022242531.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Scil_scpid71096	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Ccin_EAU88440	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Apla_XP_022081439.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Cang_ORZ30903	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Linana_g17968.t1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Emue_0005g1227a	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Helrob_HelroP84338	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Phoaus_g6500.t1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Notgen_g22494.t1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Lcom_lcpid58276	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Cmer_CMB046CT	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Sarc_Sarc4_g23913T	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Aque_Aqu2.1.28819_001	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Hydvul_Sc4wPfr_132.g22646.t1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Cint_ENSCINP00000005646.3	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Plafun_PRP79815	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Drer_ENSDARP00000007140.7	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	PHF8
Spis_XP_022796965_1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Auraur_scaffold2276.g3.t1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Rhidel_EIE82251	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Spur_XP_780290.4	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
