in_gene	out_gene	ev_type
Gefoke_MALSP_02491.mRNA.1	Phoaus_g6500.t1	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Auraur_scaffold584.g6.t1	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Hduj_OQV23936.1	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Amac_KNE62073	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Drer_ENSDARP00000152899.1	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Drer_ENSDARP00000007140.7	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Notgen_g22494.t1	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Mcir_OAD01724	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Drer_ENSDARP00000045941.6	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Drer_ENSDARP00000093306.3	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Skow_XP_006819064.1	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Klenit_GAQ85343.1	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Ramvar_GAU93306.1	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Diprot_Gene.21815	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Helrob_HelroP84338	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Cmer_CMB046CT	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Apla_XP_022081439.1	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Spur_XP_030856400.1	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Emul_CDI97327.1	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Apla_XP_022085617.1	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Plamic_ANCSI_02395.mRNA.1	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Sros_EGD82655	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Sphfal_Sphfalx05G099800.1.p	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Helrob_HelroP88624	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Ramvar_GAU93788.1	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Tetwil_Twilhelma_g9042.t2	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Plafun_PRP79815	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Ppat_Pp3c9_3630V3.1	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Emue_0015g84a	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Bralan_BL21875_evm12	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Drer_ENSDARP00000131255.2	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Umay_KIS67423	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Morvir_scaffold141.g5.t1	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Mvib_comp13484_c2_seq1_fr6	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Maljak_MALJA_09493.mRNA.1	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Cfra_CFRG5440T1	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Dpul_EFX82823	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Aque_Aqu2.1.31947_001	outparalog_ext
Gefoke_MALSP_02491.mRNA.1	Lgig_LotgiP125461	outparalog_ext
